player,position,team,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy
Aaron Long,DF,United States,30-060,1992,0,,,,,0,,0,0,,4,,,,,,,,,,,
Aaron Mooy,MF,Australia,32-087,1990,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,4,6,-2,-0.50,,2.3,7.2,-4.9,-1.23,
Aaron Ramsdale,GK,England,24-211,1998,0,,,,,0,,0,0,,5,,,,,,,,,,,
Aaron Ramsey,MF,Wales,31-350,1990,3,266,89,98.5,3.0,3,89,2,0,,0,0.33,1,4,-3,-1.02,+43.98,2.6,4.1,-1.5,-0.49,+9.06
Abdelhamid Sabiri,MF,Morocco,26-013,1996,4,136,34,28.3,1.5,1,64,0,3,24,1,2.00,4,1,+3,+1.99,+1.72,2.3,1.2,+1.0,+0.89,+1.20
Abdelkarim Hassan,DF,Qatar,29-105,1993,3,270,90,100.0,3.0,3,90,3,0,,0,0.00,1,7,-6,-2.00,,1.4,3.5,-2.1,-0.71,
Abderrazak Hamdallah,FW,Morocco,31-359,1990,3,43,14,9.0,0.5,0,,0,3,14,2,2.33,2,0,+2,+4.19,+3.77,1.2,0.0,+1.2,+2.56,+2.86
Abdessamad Ezzalzouli,FW,Morocco,20-359,2001,2,80,40,16.7,0.9,0,,0,2,40,3,1.00,0,0,0,0.00,-0.90,0.5,0.7,-0.2,-0.44,-0.44
Abdou Diallo,DF,Senegal,26-221,1996,4,331,83,91.9,3.7,4,83,3,0,,0,1.50,5,5,0,0.00,+6.21,4.0,3.2,+0.8,+0.21,-0.59
Abdul Fatawu Issahaku,FW,Ghana,18-278,2004,1,1,1,0.4,0.0,0,,0,1,1,2,0.00,0,0,0,0.00,+0.67,0.0,0.0,0.0,-3.29,-2.82
Abdulaziz Hatem,MF,Qatar,32-044,1990,3,196,65,72.6,2.2,2,87,1,1,22,0,0.00,1,5,-4,-1.84,+0.60,0.7,3.0,-2.4,-1.08,-1.36
Abdulelah Al-Amri,DF,Saudi Arabia,25-330,1997,3,182,61,67.4,2.0,2,90,2,1,2,0,1.00,1,4,-3,-1.48,-2.51,2.8,3.9,-1.1,-0.53,+1.49
Abdulellah Al-Malki,MF,Saudi Arabia,28-061,1994,2,174,87,64.4,1.9,2,87,1,0,,0,1.50,2,3,-1,-0.52,+0.42,1.8,3.5,-1.7,-0.90,+0.31
Abdullah Madu,DF,Saudi Arabia,29-149,1993,1,45,45,16.7,0.5,0,,0,1,45,2,0.00,1,2,-1,-2.00,-1.60,0.9,1.3,-0.4,-0.79,+0.27
Abdullah Otayf,MF,Saudi Arabia,30-130,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,
Abdulrahman Al-Aboud,MF,Saudi Arabia,27-193,1995,2,35,18,13.0,0.4,0,,0,2,18,1,0.00,1,0,+1,+2.57,+3.72,0.8,0.9,-0.1,-0.18,+0.95
Abolfazl Jalali,DF,IR Iran,24-168,1998,1,19,19,7.0,0.2,0,,0,1,19,2,0.00,0,0,0,0.00,+1.08,0.2,0.1,+0.1,+0.43,+0.81
Achraf Dari,DF,Morocco,23-219,1999,1,34,34,7.1,0.4,0,,0,1,34,4,3.00,0,0,0,0.00,-0.81,0.6,0.6,-0.1,-0.20,-0.17
Achraf Hakimi,DF,Morocco,24-037,1998,5,451,90,94.0,5.0,5,90,3,0,,0,2.20,3,1,+2,+0.40,-5.81,3.2,4.7,-1.5,-0.32,-2.22
Adam Davies,GK,Wales,30-147,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,
Adrien Rabiot,MF,France,27-252,1995,5,388,78,86.2,4.3,4,90,4,1,28,0,2.40,11,4,+7,+1.62,+3.08,9.3,5.3,+4.0,+0.94,+1.38
Agustín Canobbio,MF,Uruguay,24-071,1998,1,11,11,4.1,0.1,0,,0,1,11,2,3.00,0,0,0,0.00,0.00,0.2,0.6,-0.4,-3.14,-3.32
Ahmad Nourollahi,MF,IR Iran,29-312,1993,3,223,74,82.6,2.5,3,74,0,0,,0,1.00,1,6,-5,-2.02,-5.85,1.6,3.1,-1.5,-0.60,-1.61
Ahmed Alaaeldin,FW,Qatar,29-314,1993,1,6,6,2.2,0.1,0,,0,1,6,2,0.00,0,0,0,0.00,+2.05,0.0,0.0,0.0,-0.07,+0.65
Ahmed Reda Tagnaouti,GK,Morocco,26-250,1996,0,,,,,0,,0,0,,5,,,,,,,,,,,
Aimen Dahmen,GK,Tunisia,25-317,1997,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,1,1,0,0.00,,2.3,2.8,-0.5,-0.17,
Ajdin Hrustic,MF,Australia,26-159,1996,3,62,21,17.2,0.7,0,,0,3,21,1,2.00,1,0,+1,+1.45,+2.36,0.6,1.6,-1.0,-1.44,-0.25
Akram Afif,FW,Qatar,26-023,1996,3,270,90,100.0,3.0,3,90,3,0,,0,0.00,1,7,-6,-2.00,,1.4,3.5,-2.1,-0.71,
Alan Franco,MF,Ecuador,24-112,1998,2,46,23,17.0,0.5,1,45,0,1,1,1,1.50,0,1,-1,-1.96,-2.76,0.1,1.6,-1.4,-2.79,-3.83
Alejandro Balde,DF,Spain,19-054,2003,4,126,32,32.3,1.4,1,67,0,3,20,0,1.25,4,3,+1,+0.71,-0.99,1.9,1.7,+0.2,+0.19,-0.60
Aleksandar Mitrović,FW,Serbia,28-086,1994,3,262,87,97.0,2.9,3,87,2,0,,0,0.33,5,8,-3,-1.03,-1.03,3.3,7.3,-3.9,-1.35,-1.13
Alex Sandro,DF,Brazil,31-319,1991,3,190,63,39.6,2.1,2,88,1,1,15,0,2.33,3,1,+2,+0.95,+0.02,3.4,0.6,+2.7,+1.41,-0.70
Alex Telles,DF,Brazil,29-361,1992,2,59,30,12.3,0.7,1,54,0,1,5,1,1.50,0,0,0,0.00,-1.07,1.4,0.2,+1.2,+1.79,-0.08
Alexander Bah,DF,Denmark,25-002,1997,2,46,23,17.0,0.5,0,,0,2,23,1,0.00,0,1,-1,-1.96,-1.55,0.4,0.4,-0.1,-0.16,+0.28
Alexander Djiku,DF,Ghana,28-124,1994,2,97,49,35.9,1.1,1,89,0,1,8,1,1.50,2,3,-1,-0.93,-0.41,0.9,2.4,-1.4,-1.33,-1.33
Alexander Domínguez,GK,Ecuador,35-189,1987,0,,,,,0,,0,0,,3,,,,,,,,,,,
Alexis Mac Allister,MF,Argentina,23-352,1998,4,350,88,72.9,3.9,4,88,1,0,,1,2.50,7,3,+4,+1.03,+1.03,5.8,1.2,+4.6,+1.29,-0.41
Alexis Vega,FW,Mexico,25-016,1997,3,193,64,71.5,2.1,3,64,0,0,,0,1.33,0,1,-1,-0.47,-0.47,1.9,1.3,+0.7,+0.31,+0.02
