player,position,team,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,passes_received,progressive_passes_received
Aaron Mooy,MF,Australia,32-087,1990,4.0,255,14,62,168,26,0,255,2,3,66.7,5,4,152,1
Aaron Ramsey,MF,Wales,31-350,1990,3.0,147,6,32,73,42,5,147,2,8,25.0,9,4,98,7
Abdelhamid Sabiri,MF,Morocco,26-013,1996,1.5,70,5,23,36,11,1,70,0,0,,0,2,40,0
Abdelkarim Hassan,DF,Qatar,29-105,1993,3.0,193,15,83,95,17,2,193,1,5,20.0,2,0,138,1
Abderrazak Hamdallah,FW,Morocco,31-359,1990,0.5,17,2,2,7,8,1,17,0,0,,4,3,15,3
Abdessamad Ezzalzouli,FW,Morocco,20-359,2001,0.9,33,1,16,7,12,2,33,0,1,0.0,9,1,13,1
Abdou Diallo,DF,Senegal,26-221,1996,3.7,210,19,98,98,15,1,210,0,0,,2,2,138,0
Abdul Fatawu Issahaku,FW,Ghana,18-278,2004,0.0,2,0,0,2,0,0,2,0,1,0.0,0,0,1,0
Abdulaziz Hatem,MF,Qatar,32-044,1990,2.2,98,1,13,65,20,0,98,1,1,100.0,1,1,80,2
Abdulelah Al-Amri,DF,Saudi Arabia,25-330,1997,2.0,129,12,58,65,7,2,129,0,0,,1,0,63,0
Abdulellah Al-Malki,MF,Saudi Arabia,28-061,1994,1.9,105,6,28,63,17,1,105,0,0,,3,0,58,2
Abdullah Madu,DF,Saudi Arabia,29-149,1993,0.5,19,4,12,8,0,0,19,0,0,,0,0,6,0
Abdulrahman Al-Aboud,MF,Saudi Arabia,27-193,1995,0.4,22,0,3,5,14,2,22,0,3,0.0,2,0,12,4
Abolfazl Jalali,DF,IR Iran,24-168,1998,0.2,34,1,5,18,12,0,34,1,5,20.0,0,1,18,1
Achraf Dari,DF,Morocco,23-219,1999,0.4,13,7,12,1,0,0,13,0,0,,0,0,3,0
Achraf Hakimi,DF,Morocco,24-037,1998,5.0,311,20,139,117,60,6,311,2,11,18.2,9,5,165,7
Adrien Rabiot,MF,France,27-252,1995,4.3,284,12,50,159,78,17,284,2,5,40.0,5,7,204,15
Agustín Canobbio,MF,Uruguay,24-071,1998,0.1,11,1,5,1,5,0,11,0,0,,0,0,6,0
Ahmad Nourollahi,MF,IR Iran,29-312,1993,2.5,85,10,28,37,22,0,85,1,2,50.0,3,0,39,1
Ahmed Alaaeldin,FW,Qatar,29-314,1993,0.1,2,0,0,2,0,0,2,0,0,,0,0,1,0
Aimen Dahmen,GK,Tunisia,25-317,1997,3.0,82,73,82,0,0,0,82,0,0,,0,0,34,0
Ajdin Hrustic,MF,Australia,26-159,1996,0.7,32,3,6,15,12,1,32,1,4,25.0,2,1,21,4
Akram Afif,FW,Qatar,26-023,1996,3.0,181,1,11,122,50,2,181,3,7,42.9,5,5,141,10
Alan Franco,MF,Ecuador,24-112,1998,0.5,16,1,5,10,1,0,16,0,0,,1,0,9,0
Alejandro Balde,DF,Spain,19-054,2003,1.4,135,0,17,86,33,3,135,0,2,0.0,2,3,109,4
Aleksandar Mitrović,FW,Serbia,28-086,1994,2.9,95,1,3,54,39,14,95,1,1,100.0,6,3,67,12
